id,station_name,data_source,lat,lon,http_link,host
-,LAquila,MN6,42.35,13.4,/ITA_LAquila_MN6.zip,MN6
-,Montieri_Grosseto,MN6,43.132,11.018,/ITA_Montieri_Grosseto_MN6.zip,MN6
-,Pesaro_Marche,MN6,43.91,12.913,/ITA_Pesaro_Marche_MN6.zip,MN6
-,Rome,MN6,41.53,12.28,/ITA_Rome_MN6.zip,MN6
-,Kingston,MN6,-999,-999,/JAM_Kingston_MN6.zip,MN6
-,Amman_AP,MN6,31.98,35.983,/JOR_Amman_AP_MN6.zip,MN6
-,Beppu,MN6,33.3,131.48,/JPN_Beppu_MN6.zip,MN6
-,Naha_JASDF_Okinawa,MN6,26.18,127.65,/JPN_Naha_JASDF_Okinawa_MN6.zip,MN6
-,Tokyo,MN6,35.683,139.767,/JPN_Tokyo_MN6.zip,MN6
-,Yasumiya,MN6,40.427,140.897,/JPN_Yasumiya_MN6.zip,MN6
-,Siem_Reap,MN6,13.367,103.85,/KHM_Siem_Reap_MN6.zip,MN6
-,Busan,MN6,35.1,129.02,/KOR_Busan_MN6.zip,MN6
-,Daegu,MN6,35.87,128.6,/KOR_Daegu_MN6.zip,MN6
-,Daejeon,MN6,36.33,127.43,/KOR_Daejeon_MN6.zip,MN6
-,Gimcheon,MN6,36.14,128.114,/KOR_Gimcheon_MN6.zip,MN6
-,Pyeongtaek,MN6,36.95,127.03,/KOR_Pyeongtaek_MN6.zip,MN6
-,Seokwoo-dong,MN6,37.388,127.235,/KOR_Seokwoo-dong_MN6.zip,MN6
-,Seoul-Kimpo_Intl,MN6,37.55,126.8,/KOR_Seoul-Kimpo_Intl_MN6.zip,MN6
-,Yeosu,MN6,34.73,127.733,/KOR_Yeosu_MN6.zip,MN6
-,Yongin,MN6,37.25,127.202,/KOR_Yongin_MN6.zip,MN6
-,Beirut,MN6,33.87,35.5,/LBN_Beirut_MN6.zip,MN6
-,Riga,MN6,56.88,24.13,/LVA_Riga_MN6.zip,MN6
-,Aguascalientes-Aguascalientes,MN6,21.88,-102.3,/MEX_Aguascalientes-Aguascalientes_MN6.zip,MN6
-,Autlan_de_Navarro,MN6,19.764,-104.366,/MEX_Autlan_de_Navarro_MN6.zip,MN6
